Task 00: Arrived: 13, Finshed: 26, Response: 13, Norm Response: 1.000
Task 01: Arrived: 23, Finshed: 45, Response: 22, Norm Response: 3.667
Task 02: Arrived: 24, Finshed: 35, Response: 11, Norm Response: 2.200
Task 03: Arrived: 25, Finshed: 53, Response: 28, Norm Response: 3.500
Task 04: Arrived: 30, Finshed: 43, Response: 13, Norm Response: 3.250
Task 05: Arrived: 31, Finshed: 47, Response: 16, Norm Response: 8.000
Task 06: Arrived: 38, Finshed: 49, Response: 11, Norm Response: 5.500
Task 07: Arrived: 46, Finshed: 71, Response: 25, Norm Response: 2.500
Task 08: Arrived: 48, Finshed: 60, Response: 12, Norm Response: 4.000
Task 09: Arrived: 61, Finshed: 97, Response: 36, Norm Response: 2.250
Task 10: Arrived: 75, Finshed: 105, Response: 30, Norm Response: 2.308
Task 11: Arrived: 78, Finshed: 100, Response: 22, Norm Response: 2.750
Task 12: Arrived: 91, Finshed: 102, Response: 11, Norm Response: 5.500
Task 13: Arrived: 98, Finshed: 109, Response: 11, Norm Response: 2.750
Task 14: Arrived: 104, Finshed: 119, Response: 15, Norm Response: 3.000
Task 15: Arrived: 111, Finshed: 148, Response: 37, Norm Response: 2.467
Task 16: Arrived: 116, Finshed: 133, Response: 17, Norm Response: 1.889
Task 17: Arrived: 117, Finshed: 124, Response: 7, Norm Response: 7.000
Task 18: Arrived: 128, Finshed: 136, Response: 8, Norm Response: 2.667
Task 19: Arrived: 133, Finshed: 142, Response: 9, Norm Response: 4.500
Task 20: Arrived: 133, Finshed: 154, Response: 21, Norm Response: 4.200
Task 21: Arrived: 145, Finshed: 149, Response: 4, Norm Response: 4.000
Task 22: Arrived: 146, Finshed: 153, Response: 7, Norm Response: 1.750
Task 23: Arrived: 148, Finshed: 155, Response: 7, Norm Response: 7.000
Task 24: Arrived: 160, Finshed: 165, Response: 5, Norm Response: 1.000
Task 25: Arrived: 172, Finshed: 208, Response: 36, Norm Response: 2.400
Task 26: Arrived: 175, Finshed: 193, Response: 18, Norm Response: 2.250
Task 27: Arrived: 178, Finshed: 190, Response: 12, Norm Response: 3.000
Task 28: Arrived: 186, Finshed: 197, Response: 11, Norm Response: 2.750
Task 29: Arrived: 197, Finshed: 206, Response: 9, Norm Response: 1.800
Task 30: Arrived: 209, Finshed: 211, Response: 2, Norm Response: 1.000
Task 31: Arrived: 212, Finshed: 235, Response: 23, Norm Response: 1.769
Task 32: Arrived: 213, Finshed: 231, Response: 18, Norm Response: 1.800
Task 33: Arrived: 227, Finshed: 249, Response: 22, Norm Response: 2.000
Task 34: Arrived: 241, Finshed: 247, Response: 6, Norm Response: 2.000
Task 35: Arrived: 247, Finshed: 252, Response: 5, Norm Response: 1.667
Task 36: Arrived: 259, Finshed: 262, Response: 3, Norm Response: 1.000
Task 37: Arrived: 270, Finshed: 271, Response: 1, Norm Response: 1.000
Task 38: Arrived: 281, Finshed: 287, Response: 6, Norm Response: 1.000
Task 39: Arrived: 295, Finshed: 300, Response: 5, Norm Response: 1.000
Task 40: Arrived: 305, Finshed: 307, Response: 2, Norm Response: 1.000
Task 41: Arrived: 312, Finshed: 314, Response: 2, Norm Response: 1.000
Task 42: Arrived: 318, Finshed: 338, Response: 20, Norm Response: 2.000
Task 43: Arrived: 325, Finshed: 375, Response: 50, Norm Response: 2.941
Task 44: Arrived: 327, Finshed: 349, Response: 22, Norm Response: 3.143
Task 45: Arrived: 332, Finshed: 367, Response: 35, Norm Response: 3.889
Task 46: Arrived: 346, Finshed: 357, Response: 11, Norm Response: 2.750
Task 47: Arrived: 352, Finshed: 366, Response: 14, Norm Response: 2.800
Task 48: Arrived: 355, Finshed: 382, Response: 27, Norm Response: 2.455
Task 49: Arrived: 358, Finshed: 372, Response: 14, Norm Response: 14.000
Average Response Time: 15.440
Average Norm Response Time: 3.021
Number Context Switches: 94
